Customer ID,Age,Gender,Name,Income Level,Location,Loyalty Program,Purchase Frequency,Mail ID,Age Group,Loyalty Indicator,Income Level Indicator,Customer Segment
C001,82,Male,Becky Ellison,"100,000+",Mumbai,No,Low,isalazar@example.org,80+,0,5,Premium Low
C002,55,Female,Sara Smith,"<25,000",Ahmedabad,Yes,High,russocaroline@example.net,50-59,1,1,Economy
C003,62,Female,Angela Hernandez,"50,000-74,999",Kolkata,Yes,Medium,burtoncurtis@example.net,60-69,1,3,Middle Class
C004,43,Male,Julie Jenkins,"75,000-99,999",Hyderabad,No,High,peteracosta@example.org,40-49,0,4,Premium High
C005,42,Female,Dustin Davidson,"75,000-99,999",Lucknow,Yes,High,nancylindsey@example.org,40-49,1,4,Premium High
C006,79,Female,Mark Ryan,"<25,000",Bangalore,No,Medium,phillipsmelissa@example.org,70-79,0,1,Economy
C007,24,Female,Alice Torres,"<25,000",Pune,Yes,High,gonzalezdavid@example.org,20-29,1,1,Economy
C008,72,Male,Danielle Smith,"25,000-49,999",Delhi,No,Low,aaronjohnson@example.com,70-79,0,2,Economy
C009,56,Female,Linda Navarro,"100,000+",Jaipur,No,Medium,matthew80@example.net,50-59,0,5,Premium Medium
C0010,24,Male,Christopher Wiggins,"100,000+",Hyderabad,No,Medium,lanederrick@example.com,20-29,0,5,Premium Medium
C0011,76,Male,Robert Powell,"<25,000",Lucknow,No,High,dunnbrian@example.org,70-79,0,1,Economy
C0012,55,Female,Lawrence Wilkinson,"75,000-99,999",Bangalore,No,Medium,weissjeff@example.net,50-59,0,4,Premium Medium
C0013,76,Male,Matthew Brooks,"75,000-99,999",Kanpur,No,Medium,mdavenport@example.com,70-79,0,4,Premium Medium
C0014,27,Male,James Phillips,"50,000-74,999",Ahmedabad,No,High,xmeyers@example.com,20-29,0,3,Middle Class
C0015,84,Male,Kayla Sheppard,"50,000-74,999",Kanpur,No,High,williamsdevin@example.com,80+,0,3,Middle Class
C0016,74,Female,Olivia Reilly,"<25,000",Jaipur,No,High,rsantiago@example.com,70-79,0,1,Economy
C0017,25,Female,Rebecca Burke,"100,000+",Kanpur,Yes,High,tracy07@example.net,20-29,1,5,Premium High
C0018,52,Male,Grace Thompson,"75,000-99,999",Jaipur,Yes,Low,wanda25@example.org,50-59,1,4,Premium Low
C0019,54,Female,Debbie Fletcher,"75,000-99,999",Bangalore,Yes,Low,richardtran@example.net,50-59,1,4,Premium Low
C0020,41,Male,Jennifer Wilkins,"<25,000",Lucknow,Yes,Medium,dalton46@example.org,40-49,1,1,Economy
C0021,67,Male,Paul Terrell,"75,000-99,999",Delhi,Yes,Low,jmitchell@example.org,60-69,1,4,Premium Low
C0022,25,Female,Timothy Mann,"<25,000",Ahmedabad,Yes,High,troy32@example.org,20-29,1,1,Economy
C0023,58,Male,Jacqueline Walton,"<25,000",Hyderabad,Yes,Low,michaelruiz@example.com,50-59,1,1,Economy
C0024,31,Female,Patricia Leon,"75,000-99,999",Bangalore,Yes,Medium,samuel86@example.net,30-39,1,4,Premium Medium
C0025,48,Female,Angela White,"100,000+",Delhi,No,High,greenecatherine@example.org,40-49,0,5,Premium High
C0026,47,Female,Karen Gilmore,"25,000-49,999",Hyderabad,No,High,ihernandez@example.com,40-49,0,2,Economy
C0027,37,Male,Jennifer Richardson,"75,000-99,999",Jaipur,Yes,Low,karen02@example.org,30-39,1,4,Premium Low
C0028,22,Male,Shelley Marks,"100,000+",Jaipur,Yes,High,michael34@example.org,20-29,1,5,Premium High
C0029,33,Female,Amy Hood DDS,"75,000-99,999",Bangalore,Yes,High,khoward@example.net,30-39,1,4,Premium High
C0030,22,Male,Christopher Brown,"25,000-49,999",Hyderabad,Yes,High,danielbush@example.com,20-29,1,2,Economy
C0031,44,Male,David Patterson,"75,000-99,999",Pune,Yes,High,antonio42@example.net,40-49,1,4,Premium High
C0032,51,Male,Robert Sullivan,"50,000-74,999",Delhi,Yes,Low,sheri46@example.org,50-59,1,3,Middle Class
C0033,39,Female,Jon Brown,"50,000-74,999",Surat,Yes,Medium,darren98@example.org,30-39,1,3,Middle Class
C0034,67,Male,Jennifer Knight,"75,000-99,999",Mumbai,No,Low,richard23@example.org,60-69,0,4,Premium Low
C0035,57,Female,Anthony Tran,"50,000-74,999",Pune,Yes,Low,dzimmerman@example.com,50-59,1,3,Middle Class
C0036,73,Female,David Phelps,"50,000-74,999",Kolkata,No,Medium,amy58@example.com,70-79,0,3,Middle Class
C0037,67,Male,Amanda Gutierrez,"100,000+",Ahmedabad,Yes,Low,castillojenny@example.org,60-69,1,5,Premium Low
C0038,38,Male,Lisa Williams,"25,000-49,999",Chennai,No,Low,ericksonryan@example.org,30-39,0,2,Economy
C0039,26,Male,Justin Charles,"50,000-74,999",Mumbai,Yes,Low,fabbott@example.com,20-29,1,3,Middle Class
C0040,63,Male,Tiffany Johnson,"25,000-49,999",Pune,No,High,mharrison@example.net,60-69,0,2,Economy
C0041,82,Female,Steven Bailey,"<25,000",Ahmedabad,No,Medium,gabriellesmall@example.com,80+,0,1,Economy
C0042,26,Male,Shelly Williams,"75,000-99,999",Ahmedabad,No,High,kimberlyriggs@example.net,20-29,0,4,Premium High
C0043,35,Female,Jason Buckley,"50,000-74,999",Bangalore,No,Low,davidwilliams@example.com,30-39,0,3,Middle Class
C0044,54,Male,Eduardo Brock,"50,000-74,999",Bangalore,Yes,High,christopherryan@example.org,50-59,1,3,Middle Class
C0045,35,Female,Jason Wagner,"50,000-74,999",Chennai,Yes,Low,clintonhebert@example.org,30-39,1,3,Middle Class
C0046,35,Female,Lisa Hansen,"100,000+",Bangalore,No,High,nfreeman@example.net,30-39,0,5,Premium High
C0047,54,Male,Jean Johnson,"25,000-49,999",Jaipur,Yes,High,edwinryan@example.com,50-59,1,2,Economy
C0048,34,Female,Jacqueline Davis,"75,000-99,999",Kolkata,No,High,brian61@example.org,30-39,0,4,Premium High
C0049,81,Male,Julia Roberts,"25,000-49,999",Pune,No,Medium,andreagomez@example.com,80+,0,2,Economy
C0050,65,Male,Michelle Dixon,"25,000-49,999",Mumbai,Yes,Medium,emason@example.com,60-69,1,2,Economy
C0051,66,Male,Courtney Maddox,"<25,000",Delhi,Yes,Low,brennansuzanne@example.net,60-69,1,1,Economy
C0052,39,Male,Anthony Cooper,"100,000+",Kolkata,Yes,Low,burchcesar@example.com,30-39,1,5,Premium Low
C0053,24,Male,Penny Knight,"100,000+",Jaipur,Yes,High,whitneykyle@example.org,20-29,1,5,Premium High
C0054,24,Male,Meagan Perez,"75,000-99,999",Delhi,No,High,umccarty@example.net,20-29,0,4,Premium High
C0055,39,Female,Matthew Jones,"25,000-49,999",Delhi,Yes,High,pandrade@example.com,30-39,1,2,Economy
C0056,57,Male,Julie Salinas,"50,000-74,999",Jaipur,Yes,Medium,castillojoseph@example.com,50-59,1,3,Middle Class
C0057,70,Male,William Ritter,"75,000-99,999",Kolkata,No,Medium,edward71@example.org,70-79,0,4,Premium Medium
C0058,61,Male,Nicole Ray,"100,000+",Kanpur,Yes,Medium,lisamaynard@example.net,60-69,1,5,Premium Medium
C0059,22,Female,Sherri Valenzuela,"75,000-99,999",Ahmedabad,Yes,Medium,madison12@example.net,20-29,1,4,Premium Medium
C0060,36,Female,Robert Mosley,"75,000-99,999",Hyderabad,Yes,High,ricky54@example.net,30-39,1,4,Premium High
C0061,50,Female,Sierra Heath,"75,000-99,999",Surat,No,Low,christiantheresa@example.org,50-59,0,4,Premium Low
C0062,72,Female,Courtney Torres,"100,000+",Ahmedabad,Yes,High,xhicks@example.net,70-79,1,5,Premium High
C0063,84,Female,Teresa Tyler,"100,000+",Jaipur,Yes,Low,villegaskristopher@example.com,80+,1,5,Premium Low
C0064,47,Male,Joshua Mack,"50,000-74,999",Ahmedabad,Yes,Medium,emilysanchez@example.com,40-49,1,3,Middle Class
C0065,30,Female,Holly Wiggins,"75,000-99,999",Chennai,Yes,High,alexander75@example.org,30-39,1,4,Premium High
C0066,27,Male,Matthew Craig,"25,000-49,999",Surat,Yes,Medium,hornnicole@example.com,20-29,1,2,Economy
C0067,62,Male,Zachary Turner,"<25,000",Bangalore,Yes,Low,johnsonrichard@example.net,60-69,1,1,Economy
C0068,74,Female,Reginald Harvey,"<25,000",Kanpur,Yes,Medium,jessicamcdaniel@example.org,70-79,1,1,Economy
C0069,29,Female,Brad Kelley,"75,000-99,999",Pune,Yes,Low,ocarr@example.com,20-29,1,4,Premium Low
C0070,36,Female,Phillip Freeman,"50,000-74,999",Ahmedabad,Yes,High,kellyjane@example.org,30-39,1,3,Middle Class
C0071,54,Male,Mr. Michael Webb,"75,000-99,999",Kanpur,Yes,High,christopher62@example.com,50-59,1,4,Premium High
