Customer ID,Age,Gender,Name,Income Level,Location,Loyalty Program,Purchase Frequency,Mail ID
C001,82,Male,Becky Ellison,"100,000+",Mumbai,No,Low,isalazar@example.org
C002,55,Female,Sara Smith,"<25,000",Ahmedabad,Yes,High,russocaroline@example.net
C003,62,Female,Angela Hernandez,"50,000-74,999",Kolkata,Yes,Medium,burtoncurtis@example.net
C004,43,Male,Julie Jenkins,"75,000-99,999",Hyderabad,No,High,peteracosta@example.org
C005,42,Female,Dustin Davidson,"75,000-99,999",Lucknow,Yes,High,nancylindsey@example.org
C006,79,Female,Mark Ryan,"<25,000",Bangalore,No,Medium,phillipsmelissa@example.org
C007,24,Female,Alice Torres,"<25,000",Pune,Yes,High,gonzalezdavid@example.org
C008,72,Male,Danielle Smith,"25,000-49,999",Delhi,No,Low,aaronjohnson@example.com
C009,56,Female,Linda Navarro,"100,000+",Jaipur,No,Medium,matthew80@example.net
C0010,24,Male,Christopher Wiggins,"100,000+",Hyderabad,No,Medium,lanederrick@example.com
C0011,76,Male,Robert Powell,"<25,000",Lucknow,No,High,dunnbrian@example.org
C0012,55,Female,Lawrence Wilkinson,"75,000-99,999",Bangalore,No,Medium,weissjeff@example.net
C0013,76,Male,Matthew Brooks,"75,000-99,999",Kanpur,No,Medium,mdavenport@example.com
C0014,27,Male,James Phillips,"50,000-74,999",Ahmedabad,No,High,xmeyers@example.com
C0015,84,Male,Kayla Sheppard,"50,000-74,999",Kanpur,No,High,williamsdevin@example.com
C0016,74,Female,Olivia Reilly,"<25,000",Jaipur,No,High,rsantiago@example.com
C0017,25,Female,Rebecca Burke,"100,000+",Kanpur,Yes,High,tracy07@example.net
C0018,52,Male,Grace Thompson,"75,000-99,999",Jaipur,Yes,Low,wanda25@example.org
C0019,54,Female,Debbie Fletcher,"75,000-99,999",Bangalore,Yes,Low,richardtran@example.net
C0020,41,Male,Jennifer Wilkins,"<25,000",Lucknow,Yes,Medium,dalton46@example.org
C0021,67,Male,Paul Terrell,"75,000-99,999",Delhi,Yes,Low,jmitchell@example.org
